# Duplicate, suite, and campus review

Suite observations and ambiguous campuses are never auto-promoted as buildings.

| Market | Property | Municipality | Conflicts | Legacy IDs |
| sacramento | 3187 zinfandel dr | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1607372, 1617743 |
| sacramento | 3237 monier cir | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 138389, 233507 |
| sacramento | 3250 monier cir | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 231263, 275448 |
| sacramento | 3291 monier cir | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 129563, 233508 |
| sacramento | 3293 monier cir | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 111708, 233509 |
| sacramento | 3295 monier cir | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 111709, 233510 |
| sacramento | 3299 monier cir | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 138390, 233511 |
| sacramento | 3300 monier cir | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 129564, 163966 |
| sacramento | 3301 3333 sunrise blvd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1748705, 1731025, 1741838, 1753987, 1822523, 1892215 |
| sacramento | 3301 sunrise blvd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 111578, 1637974 |
| sacramento | 3315 monier cir | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 127203, 233512 |
| sacramento | 3340 sunrise blvd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 128260, 129329 |
| sacramento | 3343 capital center dr | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 137241, 1514228, 913495 |
| sacramento | 3362 monier cir | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 233513, 252661 |
| sacramento | 3370 monier cir | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 167286, 233514 |
| sacramento | 49015 delaware st | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1290955, 1362750, 1388726, 1428291, 1468950, 1514233, 1543672, 1561456, 1607033, 1617707, 1637934, 1658628, 1690923 |
| sacramento | 9727 business park dr | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 137733, 444743 |
| sacramento | 9777 business park dr | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 137756, 445940 |
| sacramento | 9778 business park dr | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 137757, 444745 |
