Municipality conflicts — ranked review queue

Every listed record remains blocked from target-city geography promotion. Classification covers all 2442 conflicts; this concise queue shows up to 50 per pilot.

| Market | Property | Municipality | Classification | Promotion blocked | Legacy IDs |
| orlando | 1035 tourmaline dr | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 989029 |
| orlando | 104 s dillingham ave | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 666142 |
| orlando | 1040 1080 kevstin dr | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 1738038, 1750002, 1727224 |
| orlando | 1040 darlington ct | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 666310 |
| orlando | 1040 kevstin dr | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 1618735, 1628321 |
| orlando | 1045 castle pines ct | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 666708 |
| orlando | 1060 1080 kevstin dr | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 1772115, 1833783, 1773276, 1792109, 1792129, 1823376, 1856730, 1881077, 1918886, 1932321, 1812626, 1844942, 1868807, 1893540, 1906061, 1957247, 1979576, 1993375, 2007903, 2021822, 1945750 |
| orlando | 107 birmingham dr | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 669273 |
| orlando | 1080 plaza dr | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 197771 |
| orlando | 109 alameda dr | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 671118 |
| orlando | 11 w darlington ave | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 2063310 |
| orlando | 1100 las fuentes dr | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 673388 |
| orlando | 1100 n john young pkwy | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 328218 |
| orlando | 1100 sunset view cir | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 673453 |
| orlando | 1103 rosemary way | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 673863 |
| orlando | 1108 sunset view cir | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 674382 |
| orlando | 111 e monument ave | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 259521 |
| orlando | 1111 arisha dr | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 675106 |
