city,state_abbr,county,lat,lng,population,zips,building_count,tier,slug,label,city_state_slug,path,source,officefinder_code,incorporated,cdp,ranking,simplemaps_matched,is_new_candidate
Pittsburgh,PA,Allegheny County,40.4397,-79.9763,1729616,15282 15216 15217 15214 15212 15213 15210 15211 15218 15219 15290 15232 15260 15233 15205 15204 15207 15206 15201 15203 15208 15234 15222 15221 15220 15226 15224 15120 15230 15240 15250 15251 15252 15253 15254 15255 15257 15258 15259 15261 15262 15264 15265 15267 15270 15272 15274 15279 15281 15286 15289 15295,7,3,pittsburgh,"Pittsburgh, PA",pittsburgh-pa,/commercial-real-estate/PA/pittsburgh/,rofo,,,,,true,
Quakertown,PA,Bucks County,40.4398,-75.3455,9319,18951,0,3,quakertown,"Quakertown, PA",quakertown-pa,/commercial-real-estate/PA/quakertown/,officefinder+simplemaps,2559,TRUE,FALSE,3,true,true
Radnor,PA,Delaware County,40.0287,-75.3675,33718,19087 19010 19085,1,3,radnor,"Radnor, PA",radnor-pa,/commercial-real-estate/PA/radnor/,rofo,,,,,true,
Reading,PA,Berks County,40.34,-75.9267,283546,19601 19604 19602 19611 19603 19612,1,3,reading,"Reading, PA",reading-pa,/commercial-real-estate/PA/reading/,rofo,,,,,true,
Southampton,PA,Franklin County,40.0249,-77.5459,8576,17257 17244,0,3,southampton,"Southampton, PA",southampton-pa,/commercial-real-estate/PA/southampton/,officefinder+simplemaps,2626,FALSE,FALSE,4,true,true
Turtle Creek,PA,Allegheny County,40.4085,-79.8214,5007,15145,0,3,turtle-creek,"Turtle Creek, PA",turtle-creek-pa,/commercial-real-estate/PA/turtle-creek/,officefinder+simplemaps,2509,TRUE,FALSE,2,true,true
Warminster,PA,Bucks County,40.2043,-75.0915,33470,18974,0,3,warminster,"Warminster, PA",warminster-pa,/commercial-real-estate/PA/warminster/,officefinder+simplemaps,2592,FALSE,FALSE,3,true,true
Warrendale,PA,Allegheny County,40.6534,-80.0795,,16046,1,3,warrendale,"Warrendale, PA",warrendale-pa,/commercial-real-estate/PA/warrendale/,rofo,,,,,true,
Weissport,PA,Carbon County,40.8289,-75.701,506,18235,0,3,weissport,"Weissport, PA",weissport-pa,/commercial-real-estate/PA/weissport/,officefinder+simplemaps,2593,TRUE,FALSE,3,true,true
West Chester,PA,Chester County,39.9601,-75.6058,20666,19380 19382 19383,0,3,west-chester,"West Chester, PA",west-chester-pa,/commercial-real-estate/PA/west-chester/,officefinder+simplemaps,1104,TRUE,FALSE,2,true,true
West Mifflin,PA,Allegheny County,40.3581,-79.9073,19190,15122 15123,0,3,west-mifflin,"West Mifflin, PA",west-mifflin-pa,/commercial-real-estate/PA/west-mifflin/,officefinder+simplemaps,2504,TRUE,FALSE,3,true,true
Wexford,PA,Allegheny County,40.6265,-80.0559,,15090,0,3,wexford,"Wexford, PA",wexford-pa,/commercial-real-estate/PA/wexford/,officefinder+simplemaps,2508,FALSE,FALSE,4,true,true
Pawtucket,RI,Providence County,41.8744,-71.3743,75893,02861 02860 02862,0,3,pawtucket,"Pawtucket, RI",pawtucket-ri,/commercial-real-estate/RI/pawtucket/,officefinder+simplemaps,2109,TRUE,FALSE,2,true,true
Providence,RI,Providence County,41.824,-71.4128,1292041,02903 02906 02907 02908 02904 02905 02909 02912 02918 02901 02902 02940,351,2,providence,"Providence, RI",providence-ri,/commercial-real-estate/RI/providence/,rofo,,,,,true,
Aiken,SC,Aiken County,33.5303,-81.7271,32521,29801 29803 29802,1,3,aiken,"Aiken, SC",aiken-sc,/commercial-real-estate/SC/aiken/,rofo,,,,,true,
Bluffton,SC,Beaufort County,32.2135,-80.9316,33157,29910,1,3,bluffton,"Bluffton, SC",bluffton-sc,/commercial-real-estate/SC/bluffton/,rofo,,,,,true,
Charleston,SC,Charleston County,32.7765,-79.9311,734681,29414 29424 29425 29455 29405 29407 29401 29403 29409 29492 29412 29402 29413 29417 29422 29457,452,2,charleston,"Charleston, SC",charleston-sc,/commercial-real-estate/SC/charleston/,rofo,,,,,true,
Columbia,SC,Richland County,34.0378,-80.9036,610536,29203 29207 29205 29208 29209 29225 29212 29210 29201 29206 29204 29202 29214 29215 29216 29217 29218 29220 29224 29226 29240 29250,2,3,columbia,"Columbia, SC",columbia-sc,/commercial-real-estate/SC/columbia/,rofo,,,,,true,
Greenville,SC,Greenville County,34.8354,-82.3646,402612,29614 29607 29605 29601 29609 29602 29603 29604 29612 29616,3,3,greenville,"Greenville, SC",greenville-sc,/commercial-real-estate/SC/greenville/,rofo,,,,,true,
Mount Pleasant,SC,Charleston County,32.8537,-79.8203,93993,29466 29464 29465,1,3,mount-pleasant,"Mount Pleasant, SC",mount-pleasant-sc,/commercial-real-estate/SC/mount-pleasant/,rofo,,,,,true,
Rock Hill,SC,York County,34.9415,-81.0241,240159,29732 29733 29730 29731,1,3,rock-hill,"Rock Hill, SC",rock-hill-sc,/commercial-real-estate/SC/rock-hill/,rofo,,,,,true,
Sioux Falls,SD,Minnehaha County,43.5446,-96.7311,207648,57108 57104 57105 57106 57107 57103 57197 57110 57117 57101 57109 57186 57193,301,2,sioux-falls,"Sioux Falls, SD",sioux-falls-sd,/commercial-real-estate/SD/sioux-falls/,rofo,,,,,true,
Bartlett,TN,Shelby County,35.2337,-89.8195,56876,38002 38135 38133 38134 38029,0,3,bartlett,"Bartlett, TN",bartlett-tn,/commercial-real-estate/TN/bartlett/,officefinder+simplemaps,2092,TRUE,FALSE,3,true,true
Brentwood,TN,Williamson County,35.9918,-86.7758,45556,37027 37024,2,3,brentwood,"Brentwood, TN",brentwood-tn,/commercial-real-estate/TN/brentwood/,rofo,,,,,true,
Chattanooga,TN,Hamilton County,35.066,-85.2481,415927,37415 37416 37410 37411 37419 37409 37421 37408 37403 37402 37407 37405 37406 37404 37343 37450 37351 37401 37414 37424,1,3,chattanooga,"Chattanooga, TN",chattanooga-tn,/commercial-real-estate/TN/chattanooga/,rofo,,,,,true,
Cool Springs,TN,Gibson County,36.1628,-89.1387,,38259,0,3,cool-springs,"Cool Springs, TN",cool-springs-tn,/commercial-real-estate/TN/cool-springs/,officefinder+simplemaps,2012,FALSE,FALSE,4,true,true
Cordova,TN,Shelby County,35.1556,-89.7762,,38018,0,3,cordova,"Cordova, TN",cordova-tn,/commercial-real-estate/TN/cordova/,officefinder+simplemaps,2093,FALSE,FALSE,4,true,true
Dover,TN,Stewart County,36.4818,-87.8438,1956,37058,0,3,dover,"Dover, TN",dover-tn,/commercial-real-estate/TN/dover/,officefinder+simplemaps,2646,TRUE,FALSE,3,true,true
Franklin,TN,Williamson County,35.92,-86.8516,87133,37069 37064 37067 37065 37068,3,3,franklin,"Franklin, TN",franklin-tn,/commercial-real-estate/TN/franklin/,rofo,,,,,true,
Germantown,TN,Shelby County,35.0829,-89.7824,40673,38138 38139 38183,0,3,germantown,"Germantown, TN",germantown-tn,/commercial-real-estate/TN/germantown/,officefinder+simplemaps,2094,TRUE,FALSE,3,true,true
Hendersonville,TN,Sumner County,36.3063,-86.5997,63091,37075 37077,0,3,hendersonville,"Hendersonville, TN",hendersonville-tn,/commercial-real-estate/TN/hendersonville/,officefinder+simplemaps,2597,TRUE,FALSE,3,true,true
Knoxville,TN,Knox County,35.9692,-83.9496,627090,37909 37902 37924 37920 37921 37922 37923 37929 37919 37918 37915 37914 37917 37916 37912 37901 37927 37928 37939 37950 37995 37996 37997,2,3,knoxville,"Knoxville, TN",knoxville-tn,/commercial-real-estate/TN/knoxville/,rofo,,,,,true,
Memphis,TN,Shelby County,35.1495,-90.049,1037125,38120 38127 38126 38107 38106 38105 38104 38103 38109 38108 38152 38132 38141 38112 38114 38111 38113 38115 38116 38117 38118 38119 38018 38016 38133 38131 38134 38128 38122 38125 37501 37544 38088 38101 38124 38130 38136 38137 38145 38148 38150 38151 38157 38159 38161 38163 38166 38168 38173 38174 38175 38177 38181 38182 38184 38186 38187 38188 38190 38193 38194 38197,806,2,memphis,"Memphis, TN",memphis-tn,/commercial-real-estate/TN/memphis/,rofo,,,,,true,
