code,raw_market,state_abbr,market_name,classification,confidence,reason,parent_city,child_submarket,slug,matched,rofo_city,rofo_slug,rofo_lat,rofo_lng,rofo_path
2274,IL - Oakbrook Terrace,IL,Oakbrook Terrace,city,medium,default_city,,,oakbrook-terrace,false,,,,,
1190,IL - Palos Heights,IL,Palos Heights,city,medium,default_city,,,palos-heights,false,,,,,
2197,IL - Rock Island,IL,Rock Island,city,medium,default_city,,,rock-island,false,,,,,
2565,IL - South Holland,IL,South Holland,city,medium,default_city,,,south-holland,false,,,,,
1180,IL - St. Charles,IL,St. Charles,city,medium,default_city,,,st-charles,false,,,,,
1213,IL - Vernon Hills,IL,Vernon Hills,city,medium,default_city,,,vernon-hills,false,,,,,
1182,IL - Westmont,IL,Westmont,city,medium,default_city,,,westmont,false,,,,,
1749,IN - Avon,IN,Avon,city,medium,default_city,,,avon,false,,,,,
2398,IN - Buchanan,IN,Buchanan,city,medium,default_city,,,buchanan,false,,,,,
1702,IN - Columbia City,IN,Columbia City,city,medium,default_city,,,columbia-city,false,,,,,
70,IN - Elkhart,IN,Elkhart,city,medium,default_city,,,elkhart,false,,,,,
1699,IN - Huntington,IN,Huntington,city,medium,default_city,,,huntington,false,,,,,
2202,IN - Lawrence,IN,Lawrence,city,medium,default_city,,,lawrence,false,,,,,
1588,IN - Louisville,IN,Louisville,city,medium,default_city,,,louisville,false,,,,,
160,IN - Mishawaka,IN,Mishawaka,city,medium,default_city,,,mishawaka,false,,,,,
2399,IN - Plymouth,IN,Plymouth,city,medium,default_city,,,plymouth,false,,,,,
2396,IN - Saint Joseph,IN,Saint Joseph,city,medium,default_city,,,saint-joseph,false,,,,,
2608,KS - Edwardsville,KS,Edwardsville,city,medium,default_city,,,edwardsville,false,,,,,
1589,KS - Kansas City,KS,Kansas City,city,medium,default_city,,,kansas-city,false,,,,,
1806,KS - Lenexa,KS,Lenexa,city,medium,default_city,,,lenexa,false,,,,,
1808,KS - Merriam,KS,Merriam,city,medium,default_city,,,merriam,false,,,,,
1809,KS - Mission,KS,Mission,city,medium,default_city,,,mission,false,,,,,
2299,KS - Roeland Park,KS,Roeland Park,city,medium,default_city,,,roeland-park,false,,,,,
433,KY - Erlanger,KY,Erlanger,city,medium,default_city,,,erlanger,false,,,,,
1794,KY - Fort Mitchell,KY,Fort Mitchell,city,medium,default_city,,,fort-mitchell,false,,,,,
1792,KY - Fort Wright,KY,Fort Wright,city,medium,default_city,,,fort-wright,false,,,,,
